,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
0,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
1,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
2,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-25.834, -25.081]"
4,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.834, -25.081]"
5,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
6,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.834, -25.081]"
7,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
8,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",,"(8.306, 8.652]","(-26.295, -25.834]"
9,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(4050.0, 4750.0]",,"(8.652, 9.141]","(-25.834, -25.081]"
10,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",,"(8.306, 8.652]","(-25.834, -25.081]"
11,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(3550.0, 4050.0]",,"(8.306, 8.652]","(-26.295, -25.834]"
