,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),MALE,FEMALE,,Adelie Penguin (Pygoscelis adeliae),Chinstrap penguin (Pygoscelis antarctica),Gentoo penguin (Pygoscelis papua)
0,0.2545454545454545,0.6666666666666666,0.15254237288135594,0.2916666666666667,0.46012171657238626,0.41234975694302145,1,0,0,1,0,0
1,0.26909090909090905,0.5119047619047618,0.23728813559322035,0.3055555555555556,0.5504504353930237,0.7193108976839054,0,1,0,1,0,0
2,0.29818181818181805,0.5833333333333334,0.3898305084745763,0.1527777777777778,0.30753706272667997,0.5216922995973217,0,1,0,1,0,0
4,0.16727272727272732,0.7380952380952381,0.3559322033898305,0.20833333333333334,0.47396416573348277,0.5244036436006404,0,1,0,1,0,0
5,0.26181818181818167,0.892857142857143,0.3050847457627119,0.2638888888888889,0.4315321488860293,0.5325160096196999,1,0,0,1,0,0
6,0.24727272727272717,0.5595238095238096,0.15254237288135594,0.2569444444444444,0.6497384299109157,0.5572957129194303,0,1,0,1,0,0
7,0.25818181818181823,0.773809523809524,0.3898305084745763,0.5486111111111112,0.763985225050559,0.6558481152135491,1,0,0,1,0,0
8,0.07272727272727272,0.5952380952380955,0.3559322033898305,0.2152777777777778,0.46012171657238626,0.41234975694302145,0,0,0,1,0,0
9,0.35999999999999993,0.8452380952380951,0.3050847457627119,0.4305555555555556,0.6273587270812793,0.5957714176057844,0,0,0,1,0,0
10,0.2072727272727271,0.4761904761904764,0.23728813559322035,0.16666666666666666,0.41793969681268883,0.5587937614326794,0,0,0,1,0,0
11,0.2072727272727271,0.5000000000000001,0.13559322033898305,0.2777777777777778,0.46012171657238626,0.41234975694302145,0,0,0,1,0,0
12,0.32727272727272727,0.5357142857142859,0.1694915254237288,0.1388888888888889,0.46012171657238626,0.41234975694302145,0,1,0,1,0,0
13,0.23636363636363636,0.9642857142857142,0.3220338983050847,0.3055555555555556,0.46012171657238626,0.41234975694302145,1,0,0,1,0,0
14,0.09090909090909091,0.9523809523809526,0.4406779661016949,0.4722222222222222,0.38593287760525496,0.5548536462315103,1,0,0,1,0,0
15,0.16363636363636364,0.5595238095238096,0.22033898305084745,0.2777777777777778,0.46012171657238626,0.41234975694302145,0,1,0,1,0,0
16,0.24000000000000005,0.7023809523809524,0.3898305084745763,0.20833333333333334,0.648944527084622,0.6040571115519967,0,1,0,1,0,0
17,0.3781818181818181,0.9047619047619047,0.423728813559322,0.5,0.435886079122863,0.581456387907901,1,0,0,1,0,0
18,0.08363636363636354,0.6309523809523808,0.2033898305084746,0.1736111111111111,0.35352492854874573,0.5525910977538556,0,1,0,1,0,0
19,0.5054545454545454,1.0,0.3728813559322034,0.4166666666666667,0.6200631779512297,0.695252362366793,1,0,0,1,0,0
20,0.2072727272727271,0.6190476190476192,0.03389830508474576,0.19444444444444445,0.46189266433788495,0.5957249904824394,0,1,0,1,0,0
21,0.2036363636363637,0.6666666666666666,0.13559322033898305,0.25,0.43059200080225996,0.6049887491604427,1,0,0,1,0,0
22,0.13818181818181807,0.7261904761904762,0.288135593220339,0.3055555555555556,0.664647089301533,0.6140141819386111,0,1,0,1,0,0
23,0.22181818181818186,0.5952380952380955,0.22033898305084745,0.3472222222222222,0.3351230967224346,0.5546184154732318,1,0,0,1,0,0
24,0.24363636363636348,0.488095238095238,0.13559322033898305,0.3055555555555556,0.8387541575437484,0.5323581574003292,1,0,0,1,0,0
25,0.11636363636363621,0.6904761904761904,0.2542372881355932,0.3055555555555556,0.6604937239892366,0.8224533949060158,0,1,0,1,0,0
26,0.3090909090909091,0.654761904761905,0.1864406779661017,0.2361111111111111,0.5464433153382029,0.5124502069102129,1,0,0,1,0,0
27,0.3054545454545454,0.5714285714285713,0.2542372881355932,0.1388888888888889,0.18768698500777162,0.47171814402931744,0,1,0,1,0,0
28,0.2109090909090908,0.654761904761905,0.0,0.125,0.3141515268004883,0.563368380652889,0,1,0,1,0,0
29,0.3054545454545454,0.6904761904761904,0.13559322033898305,0.3472222222222222,0.529854924704585,0.588835205378118,1,0,0,1,0,0
30,0.26909090909090905,0.4285714285714285,0.1016949152542373,0.1527777777777778,0.8629974427972119,0.5900299300188493,0,1,0,1,0,0
31,0.1854545454545455,0.5952380952380955,0.1016949152542373,0.3333333333333333,0.8755661780682252,0.6216096593177685,1,0,0,1,0,0
32,0.26909090909090905,0.5595238095238096,0.2711864406779661,0.16666666666666666,0.8494885594424293,0.6061339515362739,0,1,0,1,0,0
33,0.3199999999999999,0.6904761904761904,0.2033898305084746,0.3333333333333333,0.4865579716200631,0.5796054932572339,1,0,0,1,0,0
34,0.15636363636363626,0.4642857142857143,0.3898305084745763,0.1736111111111111,0.646099012217747,0.5533896442753813,0,1,0,1,0,0
35,0.25818181818181823,0.9523809523809526,0.4067796610169492,0.4027777777777778,0.635489963396901,0.614029657646392,1,0,0,1,0,0
36,0.24363636363636348,0.8214285714285714,0.3050847457627119,0.3472222222222222,0.6508540723036553,0.5868357439327486,1,0,0,1,0,0
37,0.3672727272727273,0.6428571428571429,0.13559322033898305,0.2361111111111111,0.1736850462135012,0.47148600841259497,0,1,0,1,0,0
38,0.2,0.7380952380952381,0.15254237288135594,0.16666666666666666,0.7433897143621202,0.6118630585569833,0,1,0,1,0,0
39,0.27999999999999986,0.7142857142857144,0.2033898305084746,0.5416666666666666,0.46012171657238626,0.41234975694302145,1,0,0,1,0,0
40,0.15999999999999995,0.5833333333333334,0.1694915254237288,0.125,0.8595585900285806,0.8034182743347769,0,1,0,1,0,0
41,0.31636363636363624,0.6309523809523808,0.3898305084745763,0.3333333333333333,0.46012171657238626,0.41234975694302145,1,0,0,1,0,0
42,0.14181818181818176,0.6428571428571429,0.23728813559322035,0.1111111111111111,0.7836740151426522,0.6139584693905976,0,1,0,1,0,0
43,0.43636363636363634,0.7857142857142856,0.4067796610169492,0.4722222222222222,0.6706389664220888,0.7711730896012532,1,0,0,1,0,0
44,0.17818181818181814,0.4523809523809522,0.22033898305084745,0.08333333333333333,0.7235881064999751,0.6193656816894519,0,1,0,1,0,0
